customer_id,customer_name,email,city,state,region,customer_segment,signup_date
764915,"riya gupta",riya.gupta849@gmail.com,delhi,delhi,north,consumer,2024-02-13
287271,"sahil desai",sahil.desai588@outlook.com,bhubaneswar,odisha,east,consumer,2025-04-21
709183,"zoya bose",zoya.bose449@outlook.com,nagpur,maharashtra,west,consumer,2024-10-16
807170,"ishaan kapoor",ishaan.kapoor479@outlook.com,bhubaneswar,odisha,east,consumer,2024-10-05
311483,"nikhil das",nikhil.das763@gmail.com,indore,"madhya pradesh",central,"small business",2025-12-15
179644,"aditi das",aditi.das771@outlook.com,ahmedabad,gujarat,west,consumer,2024-12-21
962018,"mihir menon",mihir.menon303@yahoo.com,lucknow,"uttar pradesh",north,consumer,2026-02-13
456776,"sakshi singh",sakshi.singh829@yahoo.com,pune,maharashtra,west,consumer,2024-03-09
898070,"sameer joshi",sameer.joshi414@yahoo.com,noida,"uttar pradesh",north,consumer,2024-03-27
593800,"rohan patel",rohan.patel85@yahoo.com,indore,"madhya pradesh",central,"small business",2025-12-08
876105,"priya bhat",priya.bhat821@yahoo.com,patna,bihar,east,consumer,2025-01-21
257381,"arnav reddy",arnav.reddy494@yahoo.com,jaipur,rajasthan,north,consumer,2024-07-21
654697,"vikas kulkarni",vikas.kulkarni460@yahoo.com,bhopal,"madhya pradesh",central,consumer,2024-04-12
371942,"isha nair",isha.nair776@yahoo.com,noida,"uttar pradesh",north,corporate,2025-07-18
520073,"dhruv singh",dhruv.singh303@outlook.com,kolkata,"west bengal",east,consumer,2026-02-17
774101,"kabir bose",kabir.bose917@gmail.com,bhubaneswar,odisha,east,"small business",2024-02-16
958204,"kiara pillai",kiara.pillai506@gmail.com,chennai,"tamil nadu",south,consumer,2024-09-06
559636,"shreya banerjee",shreya.banerjee251@gmail.com,kochi,kerala,south,consumer,2024-01-16
725952,"varun verma",varun.verma135@gmail.com,noida,"uttar pradesh",north,consumer,2026-03-17
980569,"kiara kapoor",kiara.kapoor538@gmail.com,nagpur,maharashtra,west,consumer,2025-08-07
648433,"meera rao",meera.rao523@yahoo.com,nagpur,maharashtra,west,consumer,2025-07-20
707085,"aman menon",aman.menon546@gmail.com,ahmedabad,gujarat,west,consumer,2025-05-21
951867,"meera menon",meera.menon354@yahoo.com,kochi,kerala,south,consumer,2025-11-06
859034,"aarav malhotra",aarav.malhotra997@gmail.com,lucknow,"uttar pradesh",north,consumer,2025-12-20
565558,"ayush singh",ayush.singh411@gmail.com,gurugram,haryana,north,consumer,2025-08-14
203145,"meera singh",meera.singh94@yahoo.com,NULL,haryana,north,"small business",2026-02-18
192777,"isha mehta",isha.mehta910@yahoo.com,kolkata,"west bengal",east,consumer,2024-02-24
300385,"aarav bhat",aarav.bhat86@gmail.com,nagpur,maharashtra,west,consumer,2024-06-16
734356,"mihir singh",mihir.singh195@gmail.com,bhopal,"madhya pradesh",central,consumer,2025-05-16
287357,"akash rao",akash.rao546@yahoo.com,bhopal,"madhya pradesh",central,"small business",2025-08-02
738616,"kiara kapoor",kiara.kapoor46@gmail.com,nagpur,maharashtra,west,consumer,2025-10-28
884995,"arnav gupta",arnav.gupta50@outlook.com,kolkata,"west bengal",east,consumer,2025-08-08
968630,"sameer bose",sameer.bose980@gmail.com,delhi,delhi,north,consumer,2025-11-24
935164,"manav agarwal",manav.agarwal376@gmail.com,patna,bihar,east,consumer,2024-04-20
792467,"vikas das",vikas.das398@gmail.com,chennai,"tamil nadu",south,consumer,2024-10-28
