customer_id,customer_name,email,city,state,region,signup_date,customer_segment
764915,Riya Gupta,riya.gupta849@gmail.com,Delhi,Delhi,North,2024-02-13,Consumer
287271,Sahil Desai,sahil.desai588@outlook.com,Bhubaneswar,Odisha,East,2025-04-21,Consumer
709183,Zoya Bose,zoya.bose449@outlook.com,Nagpur,Maharashtra,West,2024-10-16,Consumer
807170,Ishaan Kapoor,ishaan.kapoor479@outlook.com,Bhubaneswar,Odisha,East,2024-10-05,Consumer
311483,Nikhil Das,nikhil.das763@gmail.com,Indore,Madhya Pradesh,Central,2025-12-15,Small Business
179644,Aditi Das,aditi.das771outlook.com,Ahmedabad,Gujarat,West,2024-12-21,Consumer
962018,Mihir Menon,mihir.menon303@yahoo.com,Lucknow,Uttar Pradesh,North,2026-02-13,Consumer
456776,Sakshi Singh,sakshi.singh829@yahoo.com,Pune,Maharashtra,West,2024-03-09,Consumer
898070,Sameer Joshi,sameer.joshi414@yahoo.com,Noida,Uttar Pradesh,North,2024-03-27,Consumer
593800,Rohan Patel,rohan.patel85@yahoo.com,Indore,Madhya Pradesh,Central,2025-12-08,Small Business
876105,Priya Bhat,priya.bhat821@yahoo.com,Patna,Bihar,East,2025-01-21,Consumer
257381,Arnav Reddy,arnav.reddy494@yahoo.com,Jaipur,Rajasthan,North,2024-07-21,Consumer
654697,Vikas Kulkarni,vikas.kulkarni460@yahoo.com,Bhopal,Madhya Pradesh,Central,2024-04-12,Consumer
371942,Isha Nair,isha.nair776@yahoo.com,Noida,Uttar Pradesh,North,2025-07-18,Corporate
520073,Dhruv Singh,dhruv.singh303@outlook.com,Kolkata,West Bengal,East,2026-02-17,Consumer
774101,Kabir Bose,kabir.bose917@gmail.com,Bhubaneswar,Odisha,East,2024-02-16,Small Business
958204,Kiara Pillai,kiara.pillai506@gmail.com,Chennai,Tamil Nadu,South,2024-09-06,Consumer
559636,Shreya Banerjee,SHREYA.BANERJEE251@GMAIL.COM,Kochi,Kerala,South,2024-01-16,Consumer
725952,Varun Verma,varun.verma135@gmail.com,Noida,Uttar Pradesh,North,2026-03-17,Consumer
980569,Kiara Kapoor,kiara.kapoor538@gmail.com,Nagpur,Maharashtra,West,2025-08-07,Consumer
648433,Meera Rao,meera.rao523@yahoo.com,Nagpur,Maharashtra,West,2025-07-20,Consumer
707085,Aman Menon,aman.menon546@gmail.com,Ahmedabad,Gujarat,West,2025-05-21,Consumer
951867,Meera Menon,meera.menon354@yahoo.com,Kochi,Kerala,South,2025-11-06,Consumer
859034,Aarav Malhotra,aarav.malhotra997@gmail.com,Lucknow,Uttar Pradesh,North,2025-12-20,Consumer
565558,Ayush Singh,ayush.singh411@gmail.com,Gurugram,Haryana,North,2025-08-14,Consumer
203145,Meera Singh,meera.singh94@yahoo.com,,Haryana,North,2026-02-18,Small Business
192777,Isha Mehta,isha.mehta910@yahoo.com,Kolkata,West Bengal,East,2024-02-24,Consumer
300385,Aarav Bhat,aarav.bhat86@gmail.com,Nagpur,MH,West,2024-06-16,Consumer
734356,Mihir Singh,mihir.singh195@gmail.com,Bhopal,Madhya Pradesh,Central,2025-05-16,Consumer
287357,Akash Rao,akash.rao546@yahoo.com,Bhopal,Madhya Pradesh,Central,2025-08-02,Small Business
738616,Kiara Kapoor,kiara.kapoor46@gmail.com,Nagpur,Maharashtra,West,2025-10-28,Consumer
884995,Arnav Gupta,arnav.gupta50@outlook.com,Kolkata,West Bengal,East,2025-08-08,Consumer
968630,Sameer Bose,sameer.bose980@gmail.com,Delhi,Delhi,North,2025-11-24,Consumer
935164,Manav Agarwal,manav.agarwal376@gmail.com,Patna,Bihar,East,2024-04-20,Consumer
792467,Vikas Das,vikas.das398@gmail.com,Chennai,Tamil Nadu,South,2024-10-28,Consumer
568955,Ishaan Singh,ishaan.singh64@gmail.com,Kochi,Kerala,South,2025-04-25,Consumer
553490,Sameer Das,sameer.das893@gmail.com,Nagpur,Maharashtra,West,2025-02-21,Consumer
190452,Tanvi Shah,tanvi.shah287@outlook.com,Delhi,Delhi,North,2025-07-21,Consumer
928190,Avni Bose,avni.bose814@yahoo.com,Lucknow,Uttar Pradesh,North,2024-09-05,Consumer
835698,Kavya Desai,kavya.desai550@yahoo.com,Jaipur,Rajasthan,North,2024-11-05,Corporate
509415,Tanvi Rao,tanvi.rao954@gmail.com,Gurugram,Haryana,North,2024-02-17,Consumer
827650,Avni Shah,avni.shah900@gmail.com,Surat,Gujarat,West,2024-03-23,Consumer
